,V1,V2,V3,V4,V5,Intro,Intro,1,2,2._TEXT,3._1,3._2,3._3,3._4,3._5,3._7,3._8,3._9,3._10,3._11,3._12,3._13,3._14,3._15,3._16,3.5_2,3.5_3,3.5_4,3.5_5,Info,4._1,4._2,5,6,Info,7._1,7._2,7._3,7._4,7._5,7._6,7._7,8._1_Group,8._1_Rank,8._2_Group,8._2_Rank,8._3_Group,8._3_Rank,8._4_Group,8._4_Rank,8._5_Group,8._5_Rank,8._6_Group,8._6_Rank,8._7_Group,8._7_Rank,9._10_Group,9._10_Rank,9._11_Group,9._11_Rank,9._12_Group,9._12_Rank,9._13_Group,9._13_Rank,Info,10._1,10._2,10._3,10._4,11._10_Group,11._10_Rank,11._11_Group,11._11_Rank,11._12_Group,11._12_Rank,11._13_Group,11._13_Rank,11.5,11.5_TEXT,12._1,12._2,13._1,14._1,15,End
10,R_dbcPWauyZebt5Ah,Default Response Set,8/29/13 14:53,8/29/13 15:09,1,1,1,1 report,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,Physiology,1,2010,,Yes,Yes,1,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Very Important,Factor Importance,5,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,6,Factor Importance,4,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Always,Always,Always,Always,,,Citation Frequency,1,Citation Frequency,2,,,,,Disagree,Disagree,Agree,Strongly Agree,"There is a dearth of ecological data sets of any significant length  for  large pelagic ocean animals, except nesting beach studies for sea turtless.  They do not exist for highly migratory or pelagic fishes and marine mammals.",1
11,R_d9XJnAMKbIJtDi5,Default Response Set,8/29/13 16:08,8/29/13 16:15,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,Medical Sciences,,,,,,,,,,1,2010,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
12,R_dbbMNljOfhpHYCF,Default Response Set,8/29/13 16:09,8/29/13 16:17,1,1,1,4 or more reports,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,Atmospheric and Hydrospheric Sciences,,,,,Geology and Geography,,,Natural Resources,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Advancing the Science of Climate Change,Yes,Yes,1,Very Important,Very Important,Unable to Rate,Very Important,Very Important,Very Important,Very Important,Factor Importance,3,Factor Importance,1,Factor Importance,4,Factor Importance,5,Factor Importance,6,Factor Importance,7,Factor Importance,2,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,1,Frequently,Always,Always,Always,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Congrats -- good idea and I hope it makes its way into the policy literature.,1
13,R_bDinPN9ZBTpLEzj,Default Response Set,8/29/13 16:11,8/29/13 16:18,1,1,1,4 or more reports,Professor / academic researcher,,,Anthropology,,,,,,Geology and Geography,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,,Yes,Yes,1,Unable to Rate,Unable to Rate,Very Important,Very Important,Neither Important nor Unimportant,Neither Important nor Unimportant,Very Important,Factor Importance,7,Factor Importance,6,Factor Importance,1,Factor Importance,2,Factor Importance,5,Factor Importance,3,Factor Importance,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,Citation Frequency,4,1,Frequently,Frequently,Frequently,Infrequently,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,I serve on report in publication now (2013) and was not allowed to express this...I was told 2010 was the year.,1
14,R_b711jgsJSzKL0gZ,Default Response Set,8/29/13 16:04,8/29/13 16:19,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,,Natural Resources,,,,,,,,,1,2010,Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Neither Important nor Unimportant,Very Important,Factor Importance,5,Factor Importance,4,Factor Importance,2,Factor Importance,1,Factor Importance,6,Factor Importance,7,Factor Importance,3,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,1,Frequently,Frequently,Infrequently,Infrequently,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,Citation Frequency,4,,,Agree,Disagree,Strongly Agree,Strongly Agree,"Long-term data in many locations are critical for drawing conclusions, understanding the range of possibilities given the range of environmental conditions. Yet, we don't have sufficient long-term observations in enough locations with enough ancillary data to produce many syntheses of results that can diagnose causes of variation. New ecological programs will not have long-term data in time to produce baseline data for things like climate change and pollutants. Best to keep good existing programs running to extend the long-term record, such as the global CO2 observation sites.",1
15,R_5aMtQJ9sOn86N1P,Default Response Set,8/29/13 16:10,8/29/13 16:26,1,1,1,2-3 reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,Advancing the Science of Climate Change,Yes,Yes,1,Very Unimportant,Somewhat Important,Very Unimportant,Very Unimportant,Somewhat Important,Very Unimportant,Very Important,Factor Importance,4,Factor Importance,2,Factor Importance,6,Factor Importance,5,Factor Importance,3,Factor Importance,7,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Infrequently,Frequently,Infrequently,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Disagree,Strongly Agree,Strongly Agree,"Most of our citations were to high-level theoretical studies or to review papers and syntheses.  We had relatively few citations to primary observational studies.  Nevertheless, such observation studies are the foundation upon which the theoretical and review studies rest, so lack of citation in NRC reports should not be seen as an indicator of lack of importance. Their importance grows in aggregate as individual studies can be seen as being almost anecdotal. /  / Thus most of my answers are useless.  Long-term ecological studies are as essential as they are rare. Lack of direct citation reflects the demands of high level reports which are essentially summarizing review papers, and does not reflect on the importance of long-term ecological research.",1
16,R_25B8tnQqIKb6zZj,Default Response Set,8/29/13 16:41,8/29/13 16:45,1,1,1,1 report,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,,,,,,,1,2010,Missouri River Planning: Recognizing and Incorporating Sediment Management,Yes,Yes,1,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Somewhat Unimportant,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Unimportant,Factor Importance,2,Factor Importance,3,Factor Importance,5,Factor Importance,6,Factor Importance,7,Factor Importance,4,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Infrequently,Frequently,Always,Unable to Rate,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
17,R_cLU7VTTWuM3IUgl,Default Response Set,8/29/13 16:46,8/29/13 16:59,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,Monitoring Climate Change Impacts: Metrics at the Intersection of the Human and Earth Systems,Yes,Yes,1,Very Important,Very Unimportant,Somewhat Important,Somewhat Important,Very Unimportant,Very Unimportant,Very Important,Factor Importance,2,Factor Importance,6,Factor Importance,4,Factor Importance,3,Factor Importance,7,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,1,Never,Always,Infrequently,Infrequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
18,R_7adUOOIrvpcUSln,Default Response Set,8/29/13 18:54,8/29/13 20:40,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,Engineering,,,,,,,,,,,,,1,2010,A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California's Bay Delta,Yes,Yes,1,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Factor Importance,2,Factor Importance,6,Factor Importance,4,Factor Importance,5,Factor Importance,7,Factor Importance,1,Factor Importance,3,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Always,Always,Infrequently,Frequently,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,Other (please specify) :,More current studies presented newer data on the system and the recent trends were important.,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
19,R_6fMysP967wUgVDf,Default Response Set,8/29/13 21:36,8/29/13 21:44,1,1,1,2-3 reports,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,,,,,,,1,2010,Impact of Genetically Engineered Crops on Farm Sustainability in the United States,Yes,Yes,1,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Unable to Rate,Somewhat Important,Very Important,Factor Importance,2,Factor Importance,6,Factor Importance,5,Factor Importance,3,Factor Importance,7,Factor Importance,4,Factor Importance,1,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,1,Unable to Rate,Always,Frequently,Always,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
20,R_3mvJuDXwXSpvcKV,Default Response Set,8/30/13 5:20,8/30/13 5:29,1,1,1,4 or more reports,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,Statistics,Ecology,,,,1,2010,Ecosystem Concepts for Sustainable Bivalve Mariculture,Yes,Yes,1,Very Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Unimportant,Factor Importance,3,Factor Importance,5,Factor Importance,1,Factor Importance,4,Factor Importance,6,Factor Importance,2,Factor Importance,7,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Frequently,Always,Always,Always,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
21,R_b9m6iNMPjh8qYPb,Default Response Set,8/30/13 6:07,8/30/13 6:15,1,1,1,2-3 reports,Professor / academic researcher,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Limiting the Magnitude of Climate Change,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,,1
22,R_dmAz62KPOra46ot,Default Response Set,8/30/13 6:21,8/30/13 6:26,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,,,Yes,Yes,1,Neither Important nor Unimportant,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Factor Importance,7,Factor Importance,5,Factor Importance,2,Factor Importance,1,Factor Importance,4,Factor Importance,6,Factor Importance,3,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Always,Always,Always,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,"Note that I only had the choice of 2010 for the most recent report but the most recent was issues this year, and there was one last year as well. /  / I hope you might expand this study to cover other disciplines, especially the social sciences.  (And it is odd to pull out anthropology, in my view.)",1
23,R_cNneHLBv4u6MpcV,Default Response Set,8/30/13 7:10,8/30/13 7:22,1,1,1,1 report,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,,,,,,,,,,,1,2010,"Climate Stabilization Targets: Emissions, Concentrations, and Impacts Over Decades to Millennia",Yes,Yes,1,Very Unimportant,Somewhat Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,7,Factor Importance,6,Factor Importance,5,Factor Importance,4,Factor Importance,2,Factor Importance,3,Factor Importance,1,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Frequently,Frequently,Frequently,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,,1
24,R_6fDs8slYp9wOv8F,Default Response Set,8/30/13 7:16,8/30/13 7:26,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,Physiology,1,2010,Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,Yes,Yes,1,Very Unimportant,Very Unimportant,Very Important,Very Important,Somewhat Important,Very Unimportant,Very Important,Factor Importance,7,Factor Importance,6,Factor Importance,2,Factor Importance,3,Factor Importance,4,Factor Importance,5,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Frequently,Frequently,Frequently,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,"I ranked the frequency of citing studies of different lengths based on availability rather than on value.  If more 10+ year studies had been available, we would have cited those with greatest frequency.",1
25,R_9ZjWCo8ar7ziMkd,Default Response Set,8/30/13 7:40,8/30/13 7:44,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,Geology and Geography,,,,,,,,,,,,1,2010,Precise Geodetic Infrastructure: National Requirements for a Shared Resource,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly Agree,Strongly Agree,,1
26,R_9vsvXOpuAt4LmzH,Default Response Set,8/30/13 7:49,8/30/13 7:58,1,1,1,4 or more reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,Biology,Chemistry,,Engineering,Geology and Geography,,,Natural Resources,,,,,Ecology,,,,1,2010,Progress Toward Restoring the Everglades: The Third Biennial Review--2010,Yes,Yes,1,Very Important,Somewhat Unimportant,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Factor Importance,5,Factor Importance,7,Factor Importance,2,Factor Importance,3,Factor Importance,6,Factor Importance,1,Factor Importance,4,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Always,Always,Frequently,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,They are important to most of the NRC reports I have been involved in.,1
27,R_8jMJsr9dnjX1rG5,Default Response Set,8/30/13 7:58,8/30/13 8:06,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,,,,,,,,"Social, Economic, and Political Sciences",,,,,,1,2010,Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,Yes,Yes,1,Somewhat Unimportant,Neither Important nor Unimportant,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Unimportant,Unable to Rate,Very Unimportant,Factor Importance,2,Factor Importance,3,Factor Importance,5,Factor Importance,6,Factor Importance,4,Factor Importance,7,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Always,Frequently,Frequently,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,We found that studies of 6+ years were not as common in the literature as shorter-term studies.,,Disagree,Agree,Agree,Agree,"Chair of Ocean Acidification was a chemist and tried, without success thankfully, to dominate the process with his own version of ""the ocean acidification issue."" Push-back from several on the committee resulted in a better balanced report and one that allowed ecological matters (and even a couple of socio-economic ones!) to see the light of day.",1
