NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Hidu, H., C. Conary, and S.R. Chapman. 1981. Suspended culture of oysters: Biological fouling
control. Aquaculture 22:189-192.",Hidu,AQUACULTURE,1981,1978,1978,1,marine,USA,USA,10.1016/0044-8486(81)90146-0,15,,1,Do crabs of varying sizes feed selectively on mussels and decrease fouling in oyster culture?,NA,GrorudColvert,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Frazer, N.B. 1987. Preliminary estimates of survivorship for wild juvenile loggerhead sea turtles (Caretta caretta). Journal of Herpetology 21(3):232­235.",Frazer,J HERPETOL,1987,1980,1980,1,marine,USA,USA,10.2307/1564489,16,0.62,0,Estimating survivorship of loggerhead juveniles,Uses previously published data to derive survivorship equations,Barner,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Frechette, M., C.A. Butman, and W.R. Geyer. 1989. The importance of the benthic boundary layer flow processes in supplying phytoplankton to the benthic suspension-feeder, Mytilus edulis. Limnology and Oceanography 34(1):19-36.",Frechette,LIMNOL OCEANOGR,1989,1982,1982,1,marine,Canada,Canada,NA,286,11.92,0,How does phytoplankton get to the benthic mussel Mytilus edulis?,None,Barner,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Fonseca, M.S., G.W. Thayer, A.J. Chester, and C. Foltz. 1984. Impact of scallop harvesting on eelgrass (Zostera marina) meadows: Implications for management. North American Journal of Fisheries Management 4:286-293.",Fonseca,N AM J FISH MANAGE,1984,1982,1982,1,marine,USA,USA,NA,NA,,0,effects of human fishery actions on ecosystem,NA,Rohrer,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Bricelj, V.M. and R.E. Malouf. 1984. Influence of algal and suspended sediment concentrations
on the feeding physiology of the hard clam Mercenaria mercenaria. Marine Biology
84(2):155-165.",Bricelj,MARBIO,1984,1983,1983,1,marine,USA,USA,10.1007/BF00393000,135,,0,Sediment concentration influence on hard clam's feeding physiology,None,Focht,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Limpus, C.J. and P.C. Reed. 1985a. Green sea turtles stranded by Cyclone Kathy on the south­ western coast of the Gulf of Carpentaria. Australian Wildlife Research 12(3):523­533.",Limpus,AUST WILDLIFE RES,1985,1984,1984,1,marine,Australia,Australia,NA,19,0.68,0,"Description of stranded turtles from Cyclone Kathy in Australia, 1984.",PDF from scan&deliver,Barner,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Castel, J., P.J. Labourg, V. Escaravage, I. Auby, and M.E. Garcia. 1989. Influence of seagrass
beds and oyster parks on the abundance and biomass patterns of meiobenthos and
macrobenthos in tidal flats. Estuarine, Coastal and Shelf Science 28:71-85.",Castel,ESTUAR COAST SHELF S,1989,1986,1986,1,marine,France,France,10.1016/0272-7714(89)90042-5,82,,0,Compares benthic fauna between 3 habitat types in French tidal flats,None,Shen,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Martin, J. H., and S. E. Fitzwater. 1988. Iron deficiency limits phytoplankton growth in the north-east Pacific subarctic. Nature 331 (6154):341-343.",Martin,NATURE,1988,1987,1987,1,marine,USA,Antarctica,10.1038/331341a0,1034,,0,limited nutrients affecting populations,NA,Rohrer,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Peterson, C.H. and R. Black. 1991. Preliminary evidence for progressive sestonic food depletion
in incoming tide over a broad tidal sand flat. Estuarine, Coastal and Shelf Science
32(4):405-413.",Peterson,ESTUAR COAST SHELF S,1991,1987,1987,1,marine,USA,Australia,10.1016/0272-7714(91)90052-D ,44,2.00,0,How is chlorophyll a depleted in water flooding an intertidal bench as it become sestonic food.,NA,Cerny-Chipman,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bowen, B.W., A.B. Meylan, and J.C. Avise. 1989. An odyssey of the green sea turtle, Chelonia
mydas: Ascension Island revisited. Proceedings of the National Academy of Sciences of the
United States of America 86(2):573-576.",Bowen,P NATL ACAD SCI USA,1989,1987,1987,1,marine,USA,Brazil,NA,92,,0,What evidence exists to support the Carr-Coleman hypothesis that turtles evoloved the instinct to home to Ascension Island?,None,Reimer,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Barber, B.J., S.E. Ford, and R.N. Wargo. 1991. Genetic variation in the timing of gonadal
maturation and spawning of the Eastern oyster, Crassostrea virginica (Gmelin). The
Biological Bulletin 181(2):216-221.",Barber,BIOL BULL,1991,1987,1987,1,marine,USA,USA,10.2307/1542092,32,,0,Gonadal development and spawing in native vs. inbred oysters,March 1987 - Oct. 1987,Shen,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Bathmann, U., G. Fischer, P.J. Müller, and D. Gerdes. 1991. Short­term variations in particulate matter sedimentation off Kapp Norvegia, Weddell Sea, Antarctica: Relation to water mass advection, ice cover, plankton biomass and feeding activity. Polar Biology 11(3): 185­195.",Bathmann,POLAR BIOL,1991,1988,1988,1,marine,Germany,Southern Ocean,NA,108,4.91,0,Relative importance of physical and biological factors in sedimentation.,None,Close,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Prins, T.C., A.C. Smaal, and A.J. Pouwer. 1991. Selective ingestion of phytoplankton by the
bivalves Mytilus edulis L. and Cerastoderma edule (L.). Aquatic Ecology 25(1):93-100.",Prins,AQUATECOL,1991,1988,1988,1,marine,Netherlands,Netherlands,NA,,,0,selective ingestion of alge over silt in mussels and cockles,None,Focht,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Reeb, C.A. and J.C. Avise. 1990. A genetic discontinuity in a continuously distributed species: Mitochondrial-DNA in the American oyster, Crassostrea virginica. Genetics 124:397-406.",Reeb,GENETICS,2002,1988,1988,1,marine,USA,Atlantic Ocean,NA,255,,0,,None,Rose,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Witherington, B.E. 1991. Orientation of hatchling loggerhead turtles at sea off artificially lighted and dark beaches. Journal of Experimental Marine Biology and Ecology 149(1):1­11.",Witherington,MAR BIOL,1991,1988,1988,1,marine,USA,Atlantic Ocean,10.1016/0022-0981(91)90113-B,13,,0,,,Rose,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Lesser, M.P., S.E. Shumway, T. Cucci, and J. Smith. 1992. Impact of fouling organisms on
mussel rope culture: Interspecific competition for food among suspension-feeding
invertebrates. Journal of Experimental Marine Biology and Ecology 165(1):91-102.",Lesser,J EXP MAR BIOL ECOL,1992,1990,1990,1,marine,USA,USA,10.1016/0022-0981(92)90291-H,92,,0,Feeding rate and preferences of invertebrates in mussel rope culture,None,Shen,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Claereboudt, M.R., D. Bureau, J. Cote, and J.H. Himmelman. 1994. Fouling development and
its effect on the growth of juvenile giant scallops (Placopecten magellanicus) in suspended
culture. Aquaculture 121:327-342.",Claereboudt,AQUACULTURE,1994,1991,1991,1,marine,Canada,Canada,NA,92,,0,How does the fouling community that grows on pearl nets affect recruitment and growth of giant scallops?,None,Reimer,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Cranford, P.J. and B.T. Hargrave. 1994. In situ time-series measurement of ingestion and
absorption rates of suspension-feeding bivalves: Placopecten magellanicus. Limnology
and Oceanography 39(3):730-738.",Cranford,LIMNOL OCEANOGR,1994,1992,1992,1,marine,Canada,Canada,http://www.jstor.org/stable/2838125 .,43,,0,New approach for measuring the ingestion and absorption rate of suspension-feeding bivalves?,NA,GrorudColvert,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Mazouni, N., J.C. Gaertner, and J.M. Deslous-Paoli. 1998. Influence of oyster culture
on water column characteristics in a coastal lagoon (Thau, France). Hydrobiologia
373/374:149-156.",Mazouni,HYDROBIOLOGIA,1998,1992,1992,1,marine,France,France,10.1023/A:1017096010524,4,,0,Influence of oyster culture in French lagoon,None,Focht,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Mazouni, N. 2004. Influence of suspended oyster cultures on nitrogen regeneration in a
coastal lagoon, Thau, France. Marine Ecology Progress Series 276:103-113.",Mazouni,MAR ECOL PROG SER,2004,1992,1992,1,marine,France,France,10.3354/meps276103,15,1.67,0,Impact of oyster aquaculture on lagoon ecosystem,None,Close,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Hawkins, A.J.S., B.L. Bayne, S. Bougrier, M. Heral, J.I.P. Iglesias, E. Navarro, R.F.M. Smith, and M.B. Urrutia. 1998a. Some general relationships in comparing the feeding physiology of suspension-feeding bivalve molluscs. Journal of Experimental Marine Biology and Ecology 219(1-2):87-103.",Hawkins,J EXP MAR BIOL ECOL,1998,1992,1992,1,marine,United Kingdom,France,10.1016/S0022-0981(97)00176-7,98,6.53,0,Derive a common set of equations to summarize feeding physiology of bivalves,None,Barner,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"VanBlaricom, G.R., J.L. Ruediger, C.S. Friedman, D.D. Woodard, and R.P. Hedrick. 1993.
Discovery withering syndrome among black abalone populations at San Nicolas Island,
California. Journal of Shellfish Research 12(2):185-188.",VanBlaricom,J SHELL RES,1993,1992,1992,1,marine,USA,USA,NA,29,,0,Discovery of withering syndrome in black abalone,None,Shen,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"DeCasabianca, M.L., T. Laugier, and D. Collart. 1997. Impact of shellfish farming eutrophication
on benthic macrophyte communities in the Thau lagoon, France. Aquaculture
International 5(4):301-314.",DeCasabianca,AQUACULT INT,1997,1993,1993,1,marine,France,France,10.1023/A:1018308022436,22,1.38,0,Impact of shellfish farming on macrophytes,None,Close,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Kuivila, K. M., and C. G. Foe. 1995. Concentrations, transport and biological effects of dormant spray pesticides in the San Francisco Estuary, California. Env. Tox. Chern. 14:1141-1150.",Kuivila,ENVIRON TOXICAL CHEM,1995,1993,1993,1,marine,USA,USA,10.1897/1552-8618(1995)14[1141:CTABEO]2.0.CO;2,96,,0,What are the biological effects of dormant spray pesticides in the San Francisco Bay Estuary?,NA,GrorudColvert,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Lenihan, H.S., C.H. Peterson, J.H. Grabowski, J.E. Byers, G.W. Thayer, and D.R. Colby. 2001. Cascading of habitat degradation: Oyster reefs invaded by refugee fishes escaping stress. Ecological Applications 11(3):764-782.",Lenihan,ECOL APPL,2001,1993,1997,1,marine,USA,USA,10.2307/3061115,99,8.25,0,Oyster reefs invaded by refugee fishes escaping stress,NA,Hettinger,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance (2010),"Gates, C.E., R.A. Valverde, C.L. Mo, A.C. Chaves, J. Ballesteros, and J. Peskin. 1996. Estimating arribada size using a modified instantaneous count procedure. Journal of Agricultural, Biological, and Environmental Statistics 1(3):275-287.",Gates,J AGR BIOL ENVIR ST,1996,1994,1994,1,marine,USA,Costa Rica,10.2307/1400519,7,0.41,0,Estimating number of female turtles using an instantaneous count procedure,"Not in Web of Science, citation count is from Web of Knowledge overall",Barner,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"de Grave, S., S.J. Moore, and G. Burnell. 1998. Changes in benthic macrofauna associated
with intertidal oyster, Crassostrea gigas (Thunberg) culture. Journal of Shellfish Research
17:1137-1142.",de Grave,J SHELL RES,1998,1995,1995,1,marine,Ireland,Ireland,NA,16,1.07,0,Are there differences in macrofaunal communities near intertidal oyster beds?,NA,Cerny-Chipman,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Marubini, F. and M.J. Atkinson. 1999. Effects of lowered pH and elevated nitrate on coral calcification. Marine Ecology Progress Series 188: 117­121.",Marubini,MAR ECOL PROG SER,1999,1995,1995,1,marine,USA,USA, 10.3354/meps188117,74,5.29,0,How do treatments of lowered pH and elevated nitrate affect coral growth and calcification?,NA,Cerny-Chipman,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Salita, J.T., W. Ekau, and U. Saint-Paul. 2003. Field evidence on the influence of seagrass
landscapes on fish abundance in Bolinao, northern Philippines. Marine Ecology Progress
Series 247:183-195.",Salita,MAR ECOL PROG SER,2003,1996,1996,1,marine,Germany,Phillipines,10.3354/meps247183,25,,0,influence of patchy or continuous seagree distribution on fish abundance,None,Focht,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Addison, D.S. 1997. Sea turtle nesting on Cay Sal, Bahamas, recorded June 2­4, 1996. Bahamas Journal of Science 5(1):34­35.",Addison,BAHAMAS JOURNAL OF SCIENCE,1996,1996,1996,1,marine,NA,NA,NA,NA,NA,0,NA,Journal and citation not found,Robinson,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Friedman, C.S., K.B. Andree, K. Beauchamp, J.D. Moore, T.T. Robbins, J.D. Shields, and R.P. Hedrick. 2000. “Candidatus Xenohaliotis californiensis”, a newly described pathogen of abalone, Haliotis spp., along the west coast of North America. International Journal of Systematic and Evolutionary Microbiology 50(2):847-855.",Friedman,INT J SYST EVOL MICROBIOL,2000,1996,1996,1,marine,USA,North America,10.1099/00207713-50-2-847,57,4.38,0,a newly described pathogen of abalone along the west coast of North America,NA,Hettinger,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Peterson, B.J. and K.L. Heck, Jr. 1999. The potential for suspension feeding bivalves to increase seagrass productivity. Journal of Experimental Marine Biology and Ecology 240(1):37-52.",Peterson,J EXP MAR BIOL ECOL,1999,1996,1996,1,marine,USA,USA,10.1016/S0022-0981(99)00040-4  ,41,2.93,0,Can biodeposits of a bivalve increase pore water nutrient content and change nutrient ratios in seagrass?,None,Barner,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Grabowski, J.H. 2004. Habitat complexity disrupts predator-prey interactions but not the
trophic cascade on oyster reefs. Ecology 85(4):995-1004.",Grabowski,ECOLOGY,2004,1997,1997,1,marine,USA,USA,10.1890/03-0067),135,,0,How does habitat complexity affect predator-prey interactions and trophic cascades on oyster reefs?,None,Reimer,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Harding, J.M. and R. Mann. 2001. Oyster reefs as fish habitats: Opportunistic use of restored
reefs by transient fishes. Journal of Shellfish Research 20:951-959.",Harding,J SHELL RES,2001,1997,1997,1,marine,USA,USA,NA,40,,0,"Habitat use by transient fishes in an estuarine gradient, from complex reefs to simple sandy bottoms",None,Shen,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Witherington, B.E. 2002. Ecology of neonate loggerhead turtles inhabiting lines of down­ welling near a Gulf Stream front. Marine Biology 140(4):843­853.",Witherington,MAR BIOL,2002,1997,1997,1,marine,USA,USA, 10.1007/s00227-001-0737-x,57,,0,What is the ecology of neonate sea turtles associated with floating debris at areas of surface downwelling?,NA,GrorudColvert,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Hauxwell, J., J. Cebrian, C. Furlong, and I. Valiela. 2001. Macroalgal canopies contribute
to eelgrass (Zostera marina) decline in temperate estuarine ecosystems. Ecology
82(4):1007-1022.",Hauxwell,ECOLOGY,2001,1998,1998,1,marine,USA,USA,10.1890/0012-9658(2001)082[1007:MCCTEZ]2.0.CO;2,178,,0,Effects of macroalgal canopy on eelgrass populations,None,Shen,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
